idAirTable,direccion,fechaDeCarga,barrio,ciudad,cpc,zona,calle,altura,tipo,superficie,piso,dormitorios,categoria,precioUS,latitud,longitud
recQWEqBdybYAZ7Ah,"Derqui 100 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Derqui,55,EDIFICIO DE DEPARTAMENTOS,44.64,5,1,PREMIUM,74000,-31.42611810,-64.18694390
recUonFIHcS7yH9ip,"Fructuoso Rivera 200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2019,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Fructuoso Rivera,150,EDIFICIO DE DEPARTAMENTOS,46.98,4,1,ESTANDAR,74000,-31.42575030,-64.19093040
recIGgLalnPr06Xzs,"Fructuoso Rivera 200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Fructuoso Rivera,150,EDIFICIO DE DEPARTAMENTOS,57.97,4,1,ESTANDAR,74000,-31.42575030,-64.19093040
recM2tOvk1Iy1wSDc,"Pueyrredon 400 Ciudad de Cordoba, Provincia de Córdoba, Argentina",12/7/2023,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Pueyrredon,385,EDIFICIO DE DEPARTAMENTOS,61.00,13,2,ESTANDAR,74000,-31.42551940,-64.19436510
rec5aK3P1gYOqwdCP,"pueyrreden 400 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2020,Guemes,Ciudad de Cordoba,Mercado Central,Central,pueyrreden,390,EDIFICIO DE DEPARTAMENTOS,65.00,12,2,ESTANDAR,74500,-31.42551940,-64.19436510
recymBuzDAYyLnHXB,"24 de Septiembre 1100 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2019,General Paz,Ciudad de Cordoba,Pueyrredon,Este,24 de Septiembre,1100,EDIFICIO DE DEPARTAMENTOS,51.98,6,1,ESTANDAR,74800,-31.41455540,-64.16809730
recm8eukeMcy8jDNO,"Bolivia 300 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2019,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Bolivia,235,EDIFICIO DE DEPARTAMENTOS,42.00,5,1 y 1/2,ESTANDAR,75000,-31.43219210,-64.18641420
recd4Agjhm8a8XN7E,"Bolivia 300 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Bolivia,207,EDIFICIO DE DEPARTAMENTOS,42.99,7,1,ESTANDAR,75000,-31.43219210,-64.18641420
recenWI4celugAUvI,"Derqui 100 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2019,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Derqui,50,EDIFICIO DE DEPARTAMENTOS,45.08,6,1,PREMIUM,75000,-31.42611810,-64.18694390
rec06iU2cq6vudSE9,"Avenida 24 de Septiembre 1400 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,General Paz,Ciudad de Cordoba,Pueyrredon,Este,Avenida 24 de Septiembre,1350,EDIFICIO DE DEPARTAMENTOS,47.66,5,1,ESTANDAR,75000,-31.41356810,-64.16483870
recAb1OpwAz1eTpUI,"BUENOS AIRES 1100 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,BUENOS AIRES,1053,EDIFICIO DE DEPARTAMENTOS,50.98,4,1,PREMIUM,75000,-31.42931200,-64.18824370
rec1FZWOH2yuelOnh,"Catamarca  1200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2020,General Paz,Ciudad de Cordoba,Pueyrredon,Este,Catamarca ,1200,EDIFICIO DE DEPARTAMENTOS,53.98,4,1,PREMIUM,75000,-31.41206830,-64.16801520
rec2DQy2EnnNJrilg,"Buenos Aires 500 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2019,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Buenos Aires,500,EDIFICIO DE DEPARTAMENTOS,54.58,5,1 y 1/2,ESTANDAR,75000,-31.42253120,-64.18519110
rec8vsV9RF5Yjiuib,"Ituzaingó 700 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Ituzaingó,670,EDIFICIO DE DEPARTAMENTOS,67.30,2,2,ESTANDAR,75000,-31.42521440,-64.18501750
recWNNYW0Pr5eaUP1,"Larrañaga 100 Ciudad de Cordoba, Provincia de Córdoba, Argentina",12/6/2023,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Larrañaga,53,EDIFICIO DE DEPARTAMENTOS,79.32,4,2,ESTANDAR,75000,-31.42722170,-64.18715320
rec9MEUqltFcIzASX,"Fructuoso Rivera 200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Fructuoso Rivera,150,EDIFICIO DE DEPARTAMENTOS,64.80,9,1,ESTANDAR,75440,-31.42575030,-64.19093040
recfUNd6QFd4X2kHb,"Catamarca 1700 Ciudad de Cordoba, Provincia de Córdoba, Argentina",6/9/2021,General Paz,Ciudad de Cordoba,Pueyrredon,Este,Catamarca,1655,EDIFICIO DE DEPARTAMENTOS,64.00,2,1,ESTANDAR,75600,-31.41046320,-64.16202630
recjspIQIYE21aF0t,"Libertad 1000 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,General Paz,Ciudad de Cordoba,Pueyrredon,Este,Libertad,950,EDIFICIO DE DEPARTAMENTOS,45.69,4,1,PREMIUM,75700,-31.40934900,-64.17128660
recvSHVrn6dnlQigB,"Fructuoso Rivera 200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",8/3/2022,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Fructuoso Rivera,150,EDIFICIO DE DEPARTAMENTOS,49.96,5,1,ESTANDAR,76000,-31.42575030,-64.19093040
recTylqDaEWODaHDd,"Bv Illia 600 Ciudad de Cordoba, Provincia de Córdoba, Argentina",9/7/2022,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Bv Illia,531,EDIFICIO DE DEPARTAMENTOS,50.00,13,1,ESTANDAR,76000,-31.42320100,-64.17785620
rechBGBsJfme9Rz9m,"Lima 1400 Ciudad de Cordoba, Provincia de Córdoba, Argentina",12/6/2023,General Paz,Ciudad de Cordoba,Pueyrredon,Este,Lima,1367,EDIFICIO DE DEPARTAMENTOS,41.43,2,1,PREMIUM,76500,-31.41256720,-64.16533950
recKfSB9Rt56OdcG0,"Lima  1700 Ciudad de Cordoba, Provincia de Córdoba, Argentina",8/9/2023,General Paz,Ciudad de Cordoba,Pueyrredon,Este,Lima ,1695,EDIFICIO DE DEPARTAMENTOS,55.63,3,1,ESTANDAR,76500,-31.41152100,-64.16159510
recTwttAwtMNuBepV,"Bedoya 1000 Ciudad de Cordoba, Provincia de Córdoba, Argentina",8/4/2023,Cofico,Ciudad de Cordoba,Centroamérica,Central,Bedoya,990,EDIFICIO DE DEPARTAMENTOS,44.32,6,2,ESTANDAR,77000,-31.39668310,-64.19041920
recf5ObnHdvfcuwlT,"Independencia 1300 Ciudad de Cordoba, Provincia de Córdoba, Argentina",6/9/2021,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Independencia,1300,EDIFICIO DE DEPARTAMENTOS,46.32,9,1,ESTANDAR,77000,-31.43094600,-64.19034300
recIQcl2k6gP14sfT,"Miradores de Manantiales Ciudad de Cordoba, Provincia de Córdoba, Argentina",12/11/2023,Manantiales_ Miradores de ,Ciudad de Cordoba,Villa Libertador,Sur - Oeste,0,0,CASONAS,49.65,3,1,PREMIUM,77000,-31.45701520,-64.23810630
recLpb1CCnmFYoG8i,"felix frias 100 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,General Paz,Ciudad de Cordoba,Pueyrredon,Este,felix frias,100,EDIFICIO DE DEPARTAMENTOS,53.98,3,1,PREMIUM,77000,-31.41573680,-64.16917580
recH0yQSgwsscfS77,"Dr. Francisco Muñiz 800 Rio Cuarto, Provincia de Córdoba, Argentina",1/4/2018,Banda Norte,Rio Cuarto,,,Dr. Francisco Muñiz,800,EDIFICIO DE DEPARTAMENTOS,87.32,16,2,ESTANDAR,77292,-33.11175300,-64.32800900
recEmsgmOiWvPQ4jC,"OBISPO ORO 400 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2020,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,OBISPO ORO,400,EDIFICIO DE DEPARTAMENTOS,51.65,8,1,PREMIUM,77500,-31.42611330,-64.18248690
rec6KSd2NrfKohcKN,"Av Velez Sarsfield 1300 Ciudad de Cordoba, Provincia de Córdoba, Argentina",6/9/2021,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Av Velez Sarsfield,1251,EDIFICIO DE DEPARTAMENTOS,68.97,5,2,ESTANDAR,77500,-31.43017000,-64.19316430
recoJmuZj8cuzDqkh,"Av Velez Sarsfield 1300 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2019,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Av Velez Sarsfield,1251,EDIFICIO DE DEPARTAMENTOS,68.97,3,2,ESTANDAR,77500,-31.43017000,-64.19316430
rec91fDdxj31DJsfc,"Bv. San Juan 900 Ciudad de Cordoba, Provincia de Córdoba, Argentina",12/6/2023,Observatorio,Ciudad de Cordoba,Mercado Central,Central,Bv. San Juan,836,EDIFICIO DE DEPARTAMENTOS,79.31,12,2,ESTANDAR,77800,-31.41752390,-64.19779780
rec5Lj2700JVUmtIF,"Rondeau 500 Ciudad de Cordoba, Provincia de Córdoba, Argentina",12/12/2023,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Rondeau,450,EDIFICIO DE DEPARTAMENTOS,42.31,2,1,ESTANDAR,78000,-31.42412360,-64.18012250
recIfuyDXqvKkoxI3,"Av Velez Sarsfield 800 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Av Velez Sarsfield,762,EDIFICIO DE DEPARTAMENTOS,42.99,4,1,ESTANDAR,78000,-31.42472590,-64.19088850
